"Course","Term","Schedule","Department"
"ACC10-001","S1","5(D1-D2)","BSNS"
"ACC10-002","S2","5(D1-D2)","BSNS"
"ACC10-003","S2","1(D1-D2)","BSNS"
"ACC20-001","S1","2(D1-D2)","BSNS"
"ACC20-002","S2","4(D1-D2)","BSNS"
"ACC30-001","S1","3(D1-D2)","BSNS"
"ARE09B-002","FY","1(D1)","ART"
"ARE09B-003","FY","1(D1)","ART"
"ARE09D-002","S2","3(D1-D2)","ART"
"ARE09T-001","S1","1(D1-D2)","ART"
"ARE09T-002","S2","3(D1-D2)","ART"
"ARE09V-001","S1","1(D1-D2)","ART"
"ARE09V-002","S1","4(D1-D2)","ART"
"ARE09V-003","S1","3(D1-D2)","ART"
"ARE09V-004","S2","1(D1-D2)","ART"
"ARE09V-005","S2","2(D1-D2)","ART"
"ARE09V-006","S2","3(D1-D2)","ART"
"ARE09V-007","S2","4(D1-D2)","ART"
"BAN10-002","FY","1(D2)","ART"
"BAN10-003","FY","1(D2)","ART"
"BAN20-001","FY","2(D1)","ART"
"BAN30-001","FY","2(D1)","ART"
"BIO30-001","S1","1(D1-D2)","SC"
"BIO30-002","S1","2(D1-D2)","SC"
"BIO30-003","S1","4(D1-D2)","SC"
"BIO30-004","S2","1(D1-D2)","SC"
"BIO30-005","S2","2(D1-D2)","SC"
"BIO30-006","S2","3(D1-D2)","SC"
"BIO30-007","S2","5(D1-D2)","SC"
"BIO30-008","S1","5(D1-D2)","SC"
"CAC10-001","S1","3(D1-D2)","TECH"
"CAC10-002","S1","5(D1-D2)","TECH"
"CAC10-003","S2","1(D1-D2)","TECH"
"CAC10-004","S2","4(D1-D2)","TECH"
"CAC20-001","S2","2(D1-D2)","TECH"
"CAC20-002","S1","4(D1-D2)","TECH"
"CAC20-003","S2","3(D1-D2)","TECH"
"CAC30-001","S2","5(D1-D2)","TECH"
"CAC30-002","S1","1(D1-D2)","TECH"
"CAL30-001","S2","1(D1-D2)","MTH"
"CAL30-002","S2","5(D1-D2)","MTH"
"CAL30I-001","S2","1(D1-D2)","MTH"
"CAL30I-002","S2","2(D1-D2)","MTH"
"CAL30P-001","S1","1(D1-D2)","MTH"
"CAL30P-002","S1","2(D1-D2)","MTH"
"CAR09B-001","S1","5(D1)","PE"
"CAR09B-002","S2","5(D1)","PE"
"CHE30-001","S1","2(D1-D2)","SC"
"CHE30-002","S1","3(D1-D2)","SC"
"CHE30-003","S1","5(D1-D2)","SC"
"CHE30-004","S2","1(D1-D2)","SC"
"CHE30-005","S2","4(D1-D2)","SC"
"CHE30-006","S2","5(D1-D2)","SC"
"CHE30-007","S1","1(D1-D2)","SC"
"CHE30-008","S2","2(D1-D2)","SC"
"CHO09-N-001","FY","Lunch(D1)","ART"
"CHO10-001","FY","Lunch(D1)","ART"
"CHO20-001","FY","Lunch(D1)","ART"
"CHO30-001","FY","Lunch(D1)","ART"
"CLO10-001","S2","4(D1-D2)","TECH"
"CLO10-002","S1","4(D1-D2)","TECH"
"CLO20-grp1","S1","2(D1-D2)",""
"CLO30-grp1","S1","2(D1-D2)","TECH"
"CME10-001","S1","3(D1-D2)","PAA"
"CME20-grp2","S1","5(D1-D2)","TECH"
"CME20-grp3","S2","1(D1-D2)","TECH"
"CME30-grp2","S1","5(D1-D2)","TECH"
"CME30-grp3","S2","1(D1-D2)","TECH"
"CRW30-grp4","S2","3(D1-D2)","ENG"
"CSC20-001","S1","1(D1-D2)","SC"
"CSC20-002","S1","2(D1-D2)","SC"
"CSC20-003","S2","1(D1-D2)","SC"
"CSC20-004","S2","3(D1-D2)","SC"
"CSC30-001","S1","3(D1-D2)","SC"
"CSC30-002","S2","5(D1-D2)","SC"
"CSC30-003","S1","5(D1-D2)","SC"
"CWA30-grp 1","S2","4(D1-D2)","TECH"
"CWB30-grp 1","S2","5(D1-D2)","TECH"
"CWE10-002","S1","5(D1-D2)","TECH"
"CWE20-grp 1","S2","4(D1-D2)",""
"DAN10-001","S1","3(D1-D2)","ART"
"DAN10-grp6","S2","1(D1-D2)","ART"
"DAN20-grp5","S1","5(D1-D2)","ART"
"DAN20-grp6","S2","1(D1-D2)","ART"
"DAN30-grp5","S1","5(D1-D2)","ART"
"DAN30-grp6","S2","1(D1-D2)","ART"
"DRA10-001","S1","2(D1-D2)","ART"
"DRA20-001","S1","5(D1-D2)","ART"
"DRA20-grp1","S2","5(D1-D2)","ART"
"DRA20-grp2","S2","4(D1-D2)","ART"
"DRA30-grp1","S2","5(D1-D2)","ART"
"DRA30-grp2","S2","4(D1-D2)","ART"
"DRC10-001","S1","5(D1-D2)","TECH"
"DRC10-002","S2","4(D1-D2)","TECH"
"DRC20-001","S1","4(D1-D2)","TECH"
"DRC20-002","S2","1(D1-D2)","TECH"
"EAA20L-001","S1","2(D1-D2)","EAL"
"EAA20L-002","S2","2(D1-D2)","EAL"
"EAB10L-001","S1","2(D1-D2)","EAL"
"EAB10L-002","S2","2(D1-D2)","EAL"
"EAB20L-001","S1","2(D1-D2)","EAL"
"EAB20L-002","S2","2(D1-D2)","EAL"
"EAL1-001","S1","1(D1-D2)","ADMIN"
